Year,GDP_Growth,OECD_Europe_GDP_Growth,Internet_Adoption,Mobile_Subscriptions,Robot_Density,AI_Patents,AI_Investment,Tech_Research_Contribution,Manufacturing_GDP_Share,IT_GDP_Share,Finance_GDP_Share
1990,1.9,3.2,0.8,2.1,42,0.2,0.1,0.2,17.9,3.5,6.8
1991,-0.1,1.9,1.3,3.5,47,0.3,0.1,0.3,17.4,3.8,7.0
1992,3.6,1.2,1.7,5.2,51,0.4,0.2,0.3,17.2,4.1,7.2
1993,2.7,-0.2,2.3,6.2,55,0.5,0.2,0.4,16.9,4.4,7.4
1994,4.0,2.7,4.9,9.1,59,0.6,0.3,0.4,16.8,4.7,7.6
1995,2.7,2.8,9.2,12.7,64,0.7,0.3,0.5,16.6,5.0,7.8
1996,3.8,2.0,16.4,16.3,68,0.9,0.4,0.6,16.3,5.4,8.0
1997,4.5,2.7,22.0,20.3,74,1.1,0.5,0.7,16.0,5.9,8.3
1998,4.5,3.0,30.1,25.1,79,1.3,0.6,0.8,15.8,6.5,8.5
1999,4.8,3.1,35.9,30.6,86,1.5,0.7,0.9,15.5,7.2,8.7
2000,4.1,3.9,43.1,38.5,93,1.8,0.9,1.1,15.1,7.6,8.9
2001,1.0,2.1,49.1,44.7,98,2.1,1.1,1.2,14.7,7.4,8.7
2002,1.7,1.3,59.0,54.8,103,2.5,1.3,1.3,14.1,7.2,8.6
2003,2.8,1.4,62.0,62.5,108,3.0,1.6,1.4,13.8,7.1,8.8
2004,3.9,2.6,65.0,68.3,113,3.6,1.9,1.5,13.4,7.3,9.1
2005,3.5,2.1,68.0,76.5,125,4.3,2.3,1.6,13.0,7.5,9.4
2006,2.9,3.4,69.0,83.4,135,5.2,2.8,1.7,12.8,7.8,9.7
2007,1.9,3.1,75.0,89.0,146,6.2,3.3,1.8,12.6,8.1,9.5
2008,-0.1,0.4,74.0,93.0,156,7.4,4.0,1.9,12.1,8.3,8.9
2009,-2.5,-4.5,76.0,97.1,160,8.9,4.8,2.0,11.3,8.5,8.4
2010,2.6,2.1,71.7,98.2,165,10.7,5.8,2.1,11.7,8.8,8.6
2011,1.6,1.8,69.7,105.9,178,12.8,7.0,2.2,11.9,9.1,8.7
2012,2.2,-0.2,74.7,110.2,189,15.4,8.4,2.3,11.9,9.4,8.9
2013,1.8,0.7,71.4,114.2,198,18.5,10.1,2.4,11.8,9.8,9.1
2014,2.5,1.9,73.0,117.6,210,22.2,12.1,2.5,11.7,10.1,9.2
2015,2.9,2.3,74.5,121.3,223,26.6,14.5,2.7,11.5,10.5,9.3
2016,1.6,2.0,75.7,121.9,242,32.0,17.4,2.9,11.3,10.9,9.4
2017,2.4,2.5,87.3,120.5,260,38.4,25.8,3.1,11.2,11.4,9.5
2018,2.9,1.9,89.0,123.8,275,46.1,36.0,3.3,11.0,11.9,9.6
2019,2.3,1.6,90.8,128.9,295,55.3,50.0,3.5,10.9,12.4,9.7
2020,-3.4,-6.1,91.0,130.9,312,66.4,67.9,3.7,10.8,13.2,9.6
2021,5.7,5.4,92.0,132.8,332,79.6,93.5,4.0,11.0,14.1,9.8
2022,2.1,3.4,92.5,135.3,355,95.6,119.2,4.3,11.1,14.9,10.0
2023,2.2,0.9,93.0,137.0,380,114.7,151.4,4.6,11.2,15.5,10.1
2024,2.4,1.4,93.5,138.0,405,137.6,189.3,5.0,11.3,16.1,10.2