Country,Year,Tech_Wave,GDP_Growth,Unemployment,GDP_per_Worker_PPP,R&D_Expenditure_Percentage,Patent_Apps_Residents,HighTech_Exports_Percentage
USA,1995,Tech1.0,2.7,5.7,88845,2.45,88000,18.0
USA,1996,Tech1.0,2.8,5.8,90000,2.46,90000,17.8
USA,1997,Tech1.0,2.9,5.9,92000,2.47,92000,17.5
USA,1998,Tech1.0,3.0,5.8,94000,2.48,94000,17.2
USA,1999,Tech1.0,2.9,5.7,96000,2.50,96000,17.0
USA,2000,Tech1.0,2.8,5.8,98000,2.52,98000,16.8
USA,2001,Tech1.0,1.8,6.0,100000,2.54,100000,16.5
USA,2002,Tech1.0,1.5,6.2,102000,2.55,102000,16.3
USA,2003,Tech2.0,2.8,6.0,104000,2.62,105000,16.0
USA,2004,Tech2.0,2.9,6.1,106000,2.65,110000,15.8
USA,2005,Tech2.0,2.7,6.3,108000,2.67,115000,15.5
USA,2006,Tech2.0,2.6,6.2,110000,2.70,120000,15.4
USA,2007,Tech2.0,2.8,6.0,112000,2.73,125000,15.2
USA,2008,Tech2.0,2.3,6.4,114000,2.75,130000,15.0
USA,2009,Tech2.0,-2.5,9.0,116000,2.77,135000,14.8
USA,2010,Tech2.0,2.6,9.0,118000,2.78,140000,15.0
USA,2011,Tech2.0,2.4,8.5,120000,2.79,245000,15.4
USA,2012,Tech2.0,2.3,8.1,131102,2.79,250000,15.3
USA,2013,Tech3.0,2.4,8.0,134000,2.80,255000,15.2
USA,2014,Tech3.0,2.5,7.8,136000,2.82,260000,15.1
USA,2015,Tech3.0,2.6,7.7,138000,2.83,265000,15.0
USA,2016,Tech3.0,2.7,7.6,140000,2.84,270000,14.9
USA,2017,Tech3.0,2.6,7.5,142000,2.85,275000,14.8
USA,2018,Tech3.0,2.5,7.4,144000,2.86,280000,14.7
USA,2019,Tech3.0,2.4,7.3,146000,2.87,285000,14.6
USA,2020,Tech3.0,-3.0,9.5,148000,2.80,290000,14.5
USA,2021,Tech3.0,3.0,8.5,150000,2.90,300000,14.6
USA,2022,Tech3.0,2.8,8.3,152000,2.92,310000,14.7
USA,2023,Tech3.0,2.7,8.1,154000,2.93,320000,14.8
USA,2024,Tech3.0,2.6,8.0,156000,2.94,330000,14.9
China,1995,Tech1.0,10.95,2.9,4290,0.57,7500,5.0
China,1996,Tech1.0,11.0,3.0,4500,0.60,8000,5.5
China,1997,Tech1.0,10.8,3.1,4700,0.62,8500,6.0
China,1998,Tech1.0,10.6,3.2,4900,0.64,9000,6.5
China,1999,Tech1.0,10.4,3.3,5100,0.66,9500,7.0
China,2000,Tech1.0,10.2,3.4,5300,0.68,10000,7.5
China,2001,Tech1.0,9.9,3.5,5500,0.70,11000,8.0
China,2002,Tech1.0,9.7,3.6,5700,0.72,12000,8.5
China,2003,Tech2.0,10.0,3.8,6000,1.13,35000,25.0
China,2004,Tech2.0,9.8,3.8,6300,1.25,60000,26.0
China,2005,Tech2.0,9.5,3.9,6600,1.35,85000,27.0
China,2006,Tech2.0,9.3,4.0,6900,1.45,120000,28.0
China,2007,Tech2.0,9.0,4.0,7200,1.55,160000,29.0
China,2008,Tech2.0,8.9,4.1,7500,1.65,220000,29.5
China,2009,Tech2.0,8.8,4.1,7800,1.75,300000,30.0
China,2010,Tech2.0,8.7,4.0,8100,1.80,350000,30.0
China,2011,Tech2.0,8.5,4.0,8500,1.90,420000,30.0
China,2012,Tech2.0,7.86,4.1,17000,1.98,500000,30.0
China,2013,Tech3.0,7.5,4.2,17500,2.05,520000,30.5
China,2014,Tech3.0,7.4,4.2,18000,2.10,540000,30.7
China,2015,Tech3.0,7.3,4.1,18500,2.12,560000,31.0
China,2016,Tech3.0,7.2,4.1,19000,2.15,580000,31.2
China,2017,Tech3.0,7.1,4.0,19500,2.18,600000,31.5
China,2018,Tech3.0,7.0,4.0,20000,2.20,620000,31.8
China,2019,Tech3.0,6.9,4.0,20500,2.25,640000,32.0
China,2020,Tech3.0,6.8,4.1,21000,2.28,660000,32.2
China,2021,Tech3.0,6.7,4.1,21500,2.30,680000,32.5
China,2022,Tech3.0,6.6,4.1,22000,2.32,700000,32.7
China,2023,Tech3.0,6.5,4.1,22500,2.34,720000,33.0
China,2024,Tech3.0,6.4,4.1,23000,2.36,740000,33.2
Japan,1995,Tech1.0,1.0,3.4,35000,3.00,320000,20.0
Japan,1996,Tech1.0,1.1,3.5,35200,3.01,322000,20.0
Japan,1997,Tech1.0,1.2,3.6,35400,3.02,324000,19.8
Japan,1998,Tech1.0,1.3,3.7,35600,3.03,326000,19.5
Japan,1999,Tech1.0,1.4,3.8,35800,3.04,328000,19.3
Japan,2000,Tech1.0,1.5,3.9,36000,3.05,330000,19.0
Japan,2001,Tech1.0,0.0,4.0,36200,3.05,329000,18.8
Japan,2002,Tech1.0,0.1,4.1,36400,3.06,327000,18.5
Japan,2003,Tech2.0,1.0,4.2,36600,3.07,325000,18.3
Japan,2004,Tech2.0,1.1,4.3,36800,3.08,323000,18.1
Japan,2005,Tech2.0,1.2,4.3,37000,3.09,321000,18.0
Japan,2006,Tech2.0,1.0,4.2,37200,3.10,320000,17.9
Japan,2007,Tech2.0,1.1,4.2,37400,3.11,318000,17.8
Japan,2008,Tech2.0,0.9,4.1,37600,3.11,317000,17.7
Japan,2009,Tech2.0,-1.0,4.0,37800,3.10,316000,17.6
Japan,2010,Tech2.0,1.0,4.0,38000,3.10,315000,17.5
Japan,2011,Tech2.0,0.5,4.1,38200,3.10,314000,17.5
Japan,2012,Tech2.0,0.3,4.1,38400,3.10,313000,17.3
Japan,2013,Tech3.0,0.2,4.0,38600,3.09,312000,17.2
Japan,2014,Tech3.0,0.1,4.0,38800,3.08,311000,17.1
Japan,2015,Tech3.0,0.0,4.0,39000,3.07,310000,17.0
Japan,2016,Tech3.0,0.1,4.0,39200,3.06,309000,16.9
Japan,2017,Tech3.0,0.2,4.0,39400,3.05,308000,16.8
Japan,2018,Tech3.0,0.3,4.0,39600,3.05,307000,16.7
Japan,2019,Tech3.0,0.2,4.0,39800,3.04,306000,16.6
Japan,2020,Tech3.0,-0.5,4.1,40000,3.04,305000,16.5
Japan,2021,Tech3.0,0.1,4.1,40200,3.03,304000,16.5
Japan,2022,Tech3.0,0.0,4.1,40400,3.03,303000,16.4
Japan,2023,Tech3.0,0.1,4.1,40600,3.03,302000,16.4
Japan,2024,Tech3.0,0.0,4.1,40800,3.03,301000,16.3
Russia,1995,Tech1.0,4.0,8.0,12000,1.0,18000,5.0
Russia,1996,Tech1.0,4.2,7.9,12150,1.0,18200,5.2
Russia,1997,Tech1.0,4.1,7.8,12300,1.0,18400,5.3
Russia,1998,Tech1.0,3.8,7.7,12450,1.0,18600,5.4
Russia,1999,Tech1.0,3.9,7.8,12600,1.0,18800,5.5
Russia,2000,Tech1.0,3.7,8.0,12750,1.0,19000,5.6
Russia,2001,Tech1.0,3.6,8.1,12900,1.0,19200,5.7
Russia,2002,Tech1.0,3.5,8.2,13050,1.0,19400,5.8
Russia,2003,Tech2.0,3.8,8.0,13200,1.1,20000,6.0
Russia,2004,Tech2.0,4.0,7.9,13350,1.1,20500,6.2
Russia,2005,Tech2.0,4.1,7.8,13500,1.1,21000,6.3
Russia,2006,Tech2.0,4.2,7.8,13650,1.1,21500,6.4
Russia,2007,Tech2.0,4.0,7.7,13800,1.1,22000,6.5
Russia,2008,Tech2.0,3.8,7.8,13950,1.1,22500,6.6
Russia,2009,Tech2.0,3.5,8.0,14100,1.1,23000,6.5
Russia,2010,Tech2.0,3.6,8.1,14250,1.1,23500,6.5
Russia,2011,Tech2.0,3.7,8.0,14400,1.1,24000,6.5
Russia,2012,Tech2.0,3.8,8.0,14550,1.1,24500,6.6
Russia,2013,Tech3.0,3.9,8.0,14700,1.1,25000,6.6
Russia,2014,Tech3.0,4.0,7.9,14850,1.1,25500,6.7
Russia,2015,Tech3.0,4.1,7.8,15000,1.1,26000,6.8
Russia,2016,Tech3.0,4.2,7.8,15150,1.1,26500,6.9
Russia,2017,Tech3.0,4.0,7.7,15300,1.1,27000,7.0
Russia,2018,Tech3.0,3.9,7.7,15450,1.1,27500,7.0
Russia,2019,Tech3.0,3.8,7.8,15600,1.1,28000,7.1
Russia,2020,Tech3.0,3.7,7.9,15750,1.1,28500,7.1
Russia,2021,Tech3.0,3.8,7.9,15900,1.1,29000,7.2
Russia,2022,Tech3.0,3.9,7.9,16050,1.1,29500,7.2
Russia,2023,Tech3.0,4.0,7.8,16200,1.1,30000,7.3
Russia,2024,Tech3.0,4.1,7.8,16350,1.1,30500,7.3
